active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Denis Mars,Simon Ratner",S16,2016,"Consumer,Consumer Electronics",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/190493234a6fff12dbec698756a71b558faa2267.png,"We're building a mobile and wearable digital wallet that makes interacting with payments, identity, and authentication seamless, fun, and empowering.

Acquired by OURA in 2023",Proxy,"San Francisco, CA, USA",Smart ring digital wallet,Acquired,"hard-tech,hardware,consumer,identity",20,https://proxy.com
"Bob Violier,Robert Vis,Joey van Ommen",S16,2011,"B2B,Engineering, Product and Design",0,"Amsterdam, Netherlands",https://bookface-images.s3.amazonaws.com/small_logos/bdee5b69dd38909ad07702b3aebc29f8d5880658.png,"The world’s largest omnichannel communications platform.
 
Bird CRM powers communication between businesses and their customers — across any channel, always with the right context, and on every corner of the planet. Its products and solutions are the foundational building blocks to business communications across preferred channels, like SMS, Voice, WhatsApp, WeChat, Messenger, Email and more. Founded in 2011, Bird connects to billions of devices and is trusted by nearly 20,000 customers worldwide.
 
Headquartered in Amsterdam, Bird operates across nine global hubs — including Singapore, Dublin, Shanghai, Sydney, London, Bogota and Asuncion — and is proud to be a “Work Anywhere” company. Its team of 500 employees represent more than 55 nationalities.",Bird,"Amsterdam, NH, Netherlands",The world’s largest omnichannel communications platform,Active,messaging,500,http://bird.com
Alexandr Wang,S16,2016,"B2B,Engineering, Product and Design",6,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/8c45a78eb56f4a95e41a3a77960b00fdfb4cd918.png,"Scale accelerates the development of AI within organizations of any size to deliver critical business insights and operational efficiency. Its data-centric infrastructure platform leverages RLHF (Reinforced Learning with Human Feedback) to help organizations build the strongest AI models that supercharge their business, with customers across industries including Meta, Microsoft, U.S. Army, DoD’s Defense Innovation Unit, Open AI, General Motors, Toyota Research Institute, Brex, Instacart and Flexport.",Scale AI,"San Francisco, CA, USA",Data-centric infrastructure to accelerate the development of AI ,Active,"artificial-intelligence,machine-learning",500,http://scale.com
"Vidit Aatrey,Sanjeev Barnwal",S16,2015,"B2B,Retail",0,"Bengaluru, India",https://bookface-images.s3.amazonaws.com/small_logos/2e219c412cfa3b69bc5211d8d7473cf06bfe6593.png,"Meesho is India’s only true online marketplace, altering the status quo to make e-commerce inclusive and accessible for the next billion users. With a vision to enable 100 million small businesses, including individual entrepreneurs, to succeed online, Meesho is democratising internet commerce and bringing a range of products and new customers online. The Meesho marketplace provides sellers access to millions of customers, selections from over 30 categories, pan-India logistics, payment services and customer support capabilities to efficiently run their businesses. 

",Meesho,"Bengaluru, KA, India",Democratizing internet commerce for everyone in India,Active,e-commerce,1450,http://www.meesho.com
"Adam Hansmann,Alex Mather",S16,2016,"Consumer,Content",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/7f6b19c9a7bb7ba979f8935bcd2e5bd32b954069.png,"The Athletic is a direct-to-consumer digital sports media company committed to helping subscribers experience storytelling in a whole new way. Founded in 2016 and headquartered in San Francisco, The Athletic has over 600 full-time employees and covers more than 250 professional sports and collegiate teams in the US, Canada and the UK. The Athletic’s newsroom has produced thousands of in-depth articles along with more than 120 podcasts and premium video content. The Athletic is a remote-friendly company as we have offices in San Francisco, Los Angeles, London, and Melbourne.",The Athletic,"San Francisco, CA, USA",Subscription sports media.,Acquired,media,600,https://theathletic.com
"Charlie Cheever,James Ide",S16,2016,"B2B,Infrastructure",0,Palo Alto,https://bookface-images.s3.amazonaws.com/small_logos/3628951a3d0760d9fcc3099d4360ec712d6f72b3.png,"Expo lets developers write apps that are written in JavaScript and run natively on Android, iOS, and the web. Our cloud services that work with all Expo and React Native apps, named Expo Application Services (EAS), further speeds up teams by helping them get to the app stores as fast as possible and continue growing.

We believe that mobile apps provide a better experience than websites, but making apps is much more difficult than it needs to be. With Expo, we're bringing together the best of the web, like its development speed, fast iteration cycles, easy deploys, and automatic cross-platform support, and the performance, device capabilities, and user experience of native apps.",Expo,"Palo Alto, CA, USA",Expo brings together the best of web and native app development,Active,developer-tools,23,https://expo.dev
Arup Roy-Burman,S16,2016,"Healthcare,Healthcare IT",0,"Oakland, CA",https://bookface-images.s3.amazonaws.com/small_logos/28c54dbde31eabb779e90782aab189b88b7e3fdd.png,"Healthcare is delivered by teams – nurses, doctors, and staff, specific to each hospital, clinic, and department. They want to do their best, but cannot keep up with constantly changing information. Burnout >50%. Unprecedented turnover. Growing medical errors (the #3 cause of death in the US). $100B+ in waste.

Elemeno Health is a UCSF and Y Combinator-backed B2B SaaS for healthcare facilities– “a playbook in your pocket,” customized to support frontline teams with bite-sized training and communication at their fingertips, accessible 24/7 on any device. Our efficacy is demonstrated in our published results, passionate clients, and consistent renewals. 20x ROI. 75% decrease in medical errors.",Elemeno Health,"Oakland, CA, USA",Just-in-time training and communication for frontline healthcare teams,Active,"saas,digital-health,healthcare",25,http://elemenohealth.com
"Peter Lu,Kong Pham",S16,2014,Education,0,"Los Angeles, CA",,We help aspiring creators go viral and monetize their content. ,Jumpcut,"Los Angeles, CA, USA",Helping creators go viral and build businesses.,Active,"elearning,social-media,video",11,http://www.jumpcut.com
"Kyle Killion,Robbie Bhathal",S16,2012,"Consumer,Travel, Leisure and Tourism",0,"Oakland, CA",https://bookface-images.s3.amazonaws.com/small_logos/3f70de4698d4f75b37db5be4368b74b4349e7c27.png,Suiteness is the first online booking platform with access to an inventory of thousands of exclusive luxury hotel suites. Suiteness is carving a niche for itself in the international travel industry as the leading website dedicated solely to luxury suites and finding success with group travelers and families looking for a nice place to stay together.,Suiteness,"Oakland, CA, USA",Book guaranteed connecting rooms and suites at hotels,Active,,7,https://www.suiteness.com
"Bernardo de Padua,Lucas Gomes,Thiago Brandão",S16,2013,Education,0,"São José dos Campos, Brazil",https://bookface-images.s3.amazonaws.com/small_logos/d4e1c3aae8d76a69c4187a8a792adde071ff038c.png,"Quero is an online marketplace for college programs in Brazil. It helps students search, compare and enroll in programs in over 1200 partner colleges, saving money on tuition.

Follow Us:
facebook.com/queroedu
instagram.com/queroedu
twitter.com/queroedu
quero.education/carreiras",Quero Education,"São José dos Campos, SP, Brazil",Quero is an online marketplace for college programs in Brazil. It…,Active,education,200,http://querobolsa.com.br
Chris Lengerich,S16,,"B2B,Retail",0,Palo Alto,,"Mindori is the accurate way to search your app by voice for e-commerce companies. Build magical conversational search for your app in minutes, with no learning curve.
""What about shirts that I can wear at a wedding?"". Search over concepts that you may not have thought to index in your database.
""Find a green shirt"" - ""What about in red?"". Make the experience magical for users through context.
Was it ""Koffee Kult"" or ""coffee cult""? Customize speech recognition models for your product catalog and customer queries.
Get started in minutes. Improving the model requires only minutes per day, not hours. Track user preferences and deliver customized suggestions based on their buying behavior and patterns. Export your generated models to popular assistant or chatbot frameworks automatically.",Mindori,"Palo Alto, CA, USA",Mindori builds white-label voice search for e-commerce apps.,Inactive,e-commerce,1,http://www.mindori.com
James Batstone,S16,,"Real Estate and Construction,Construction",0,"London, United Kingdom",,"Making construction sites safer for workers, and easier to manage for the firms that operate them. 

SmartSite makes active mitigation of health and safety risks automatic, and helps companies comply with regulation. SmartSite combines a rugged, site-deployed smart connected device, with a robust cloud infrastructure and accessible dashboards.",SmartSite,"London, England, United Kingdom",Smartsite is a hardware device to protect workers from health risks…,Inactive,hardware,2,http://www.smartsitesafety.com/
,S16,,"B2B,Engineering, Product and Design",0,,,"Sixa delivers a full computer that operates right from the cloud via a client app. With Sixa you can forget about hardware upgrades and slow performance, and easily run any app, anytime, anywhere and on any device.",Sixa,"San Francisco, CA, USA",Personal computer in the cloud,Inactive,,11,https://sixa.io
"Sahle Hashelit,Erick Lee",S16,,"B2B,Retail",0,"San Mateo, CA",,"The fastest, easiest, and most secure way to checkout in retail stores. Selfycart is working towards a world where there are no lines, and no wait, to checkout. Simply, scan, pay, and go.",Selfycart,"San Mateo, CA, USA",Selfycart - let's grocery shoppers scan items and checkout on their…,Inactive,grocery,2,https://www.selfycart.com
Feridun Mert Celebi,S16,,"Healthcare,Healthcare IT",0,San Francisco,,"PatientBank helps people gather and share medical records online. The company is backed by Y Combinator, General Catalyst, Khosla Ventures, and others.",PatientBank,"San Francisco, CA, USA",Get medical records online—from any doctor or hospital.,Inactive,"health-tech,healthcare-it",2,https://www.patientbank.us
Kevin Li,S16,,"Consumer,Food and Beverage",0,"San Mateo, CA",,Farmstead is an artificial intelligence-powered farm to doorstep grocery delivery startup.,Farmstead,"San Mateo, CA, USA",An AI-powered digital grocer that delivers in under 60 mins.,Inactive,"artificial-intelligence,grocery,delivery",10,http://farmsteadapp.com
"Aric Lasry,Michael Ohana",S16,,"B2B,Finance and Accounting",0,,,"Imagine if all your PDF bills could be automatically downloaded every month for your accountant ? 

Say hi to Hellobill.
 
Hellobill is a 1-click solution that automatically downloads all your online PDF bills for your accountant. Uber, Amazon, AWS, Google Apps, Adwords, Facebook Ads, but also utilities bills and many more. 
 
Our users

Hellobill is specifically designed for CEOs, CFOs, Managers and Office Managers that are tired of manual & tedious low-value accounting tasks. 

Our mission

To put an end to the monthly nightmare associated with accounting in SMB. Thanks to Hellobill, our users refocus on what’s important: their business.

Hellobill’s added value

- Improve your efficiency
Do more work in less time with an intuitive software
- Increase productivity
With data flowing automatically, you will make your work easier and faster.
- Focus on adding value
Automate basic functions, freeing up your time for the things that matters.

How does it work?

1. Download the Hellobill desktop app
2. Log in to all your online providers’ accounts once & for all
3. Click on “Fetch my bills” and that's it! All your online bills are automatically downloaded and sorted every month.

Your PDF bills are then sorted by month in your Dropbox. You can share them easily with your accountant. Think of services such as Amazon, Uber, AWS, Github, OVH, your bank and your phone & internet providers.

Security is at the core of our product: using a desktop app allows us to never store our users’ credentials on our servers. We don't have access to your credentials as they are not stored on our side. They sit on your local keychain.",Hellobill,,"Hellobill aggregates all your business bills, automatically, every…",Inactive,fintech,2,http://hellobill.io
Nupur Mehta,S16,,"Healthcare,Healthcare IT",0,"Cupertino, CA",,Our vision is to reduce the paperwork required after each Ambulance run and increase efficiency of the Ambulance operations and create a channel to securely communicate information to the hospitals in a timely manner.,RigPlenish,"Cupertino, CA, USA","On average each Ambulance run is two hours long, 40 minutes is spent…",Inactive,"health-tech,workflow-automation",2,http://rigplenish.com
Gilles Poupardin,S16,,"Consumer,Consumer Electronics",0,"Paris, France",,"Whyd is a free social music platform designed for music lovers to keep, play, and share all of the internet's music.

It is the missing link between places where people post music to stream, like YouTube and Soundcloud, and the places where people share music, like Facebook, and Twitter.

The internet is the biggest source of music ever. There are billions of songs available to stream for free. But the music landscape is fragmented, between the multitude of different platforms where people post music, and the places where people share and talk about music. They believe that music lovers need their own platform, that serves as a tool to organize and listen to the web, and a social network that is seamlessly integrated into the listening and curation experience.",Whyd,"Paris, Île-de-France, France","We make a beautiful, great sounding, voice-controlled speaker. ",Inactive,,2,https://whyd.com
"William King,Alex Lin,Cooper Mor",S16,,"Consumer,Apparel and Cosmetics",0,"Los Angeles, CA",,Hush is a mobile-first makeup retailer.,Hush,"Los Angeles, CA, USA",Hush is the top social commerce app in the United States. ,Inactive,,2,http://www.shophush.com
"Catherine Jue,Ashwin Kumar",S16,,"B2B,Finance and Accounting",0,San Francisco,,"Sway is bringing artificial intelligence to the accounting industry. Its first product is an automated bookkeeping service for SaaS companies.

We use a combination of proprietary machine learning models and API integrations to bring our delightfully low-touch experience to the accounting industry.

Learn more: hello@swayfinance.com",Sway Finance,"San Francisco, CA, USA",Sway is bringing AI to the accounting industry,Inactive,"artificial-intelligence,fintech",2,https://www.swayfinance.com
"Itamar Gilad,Nir Krakowski",S16,,"B2B,Security",0,San Francisco,,Metapacket is a proxy platform that detects & prevents malwares from exfiltration. Effectively rendering malware useless.,Metapacket,"San Francisco, CA, USA",Metapacket is the first selective web gateway that stops malware by…,Inactive,"cybersecurity,enterprise",2,http://www.metapacket.com
"Daniel Barabander,Mykel Pereira",S16,,"B2B,Retail",0,New York,,Haywheel is an artisan food marketplace for restaurants and specialty food stores.,Haywheel,"New York, NY, USA",Haywheel is an artisan food marketplace for restaurants and specialty…,Inactive,"marketplace,food-&-beverage",2,http://www.haywheel.com
"Paul Judge,Cedric Rogers,Greg Selkoe",S16,2015,"Consumer,Apparel and Cosmetics",0,"Atlanta, GA",https://bookface-images.s3.amazonaws.com/small_logos/5671a84b8181044e6ed4e95d3c2c6e4b521099a6.png,"Looklive allows you to browse the style of your favorite celebrities and influencers and shop their looks.

Looklive is the next generation for online media and shopping.  Our aim is to be nothing less than the world’s authority and source on the influencers shaping and directing global style and culture.

Looklive Inc. participated in the Summer 2016 batch of Y Combinator.",Looklive,"Atlanta, GA, USA",Looklive is a community and marketplace for fashion.  Users browse…,Inactive,"marketplace,social",11,https://www.looklive.com/
"Bigi Lui,Kendra Gibbons,Brad Ross",S16,,"B2B,Marketing",0,San Francisco,,"Launched in 2013, CoinTent is a digital wallet and subscription service that enables users to purchase quality content, including articles, videos, blog posts, and more, for micropayments across websites. Its services provide a revenue channel for publishers, supplementing revenue sources such as advertising and subscriptions. CoinTent is based in San Francisco, California, United States.",CoinTent,"San Francisco, CA, USA",Recover revenue lost to ad blockers ,Inactive,advertising,2,https://cointent.com
"Andrew Paterson,Bala Raja",S16,2015,Healthcare,0,"Fremont, CA",https://bookface-images.s3.amazonaws.com/small_logos/e24ad91e84232c8d13fc0c0a73e4d5987b4c64de.png,"At Clip Health, we are relentlessly executing on the vision to enable accessible, personalized, and actionable health testing, with immediate follow-up, across infectious, metabolic, endocrine, and chronic diseases and conditions. The Clip Platform brings our proprietary glow-in-the-dark nanochemistry in combination with connected easy-to-use hardware and delightful-to-use mobile apps to at-home, point-of-care, and enterprise settings. ",Clip Health,"Fremont, CA, USA","Testing & treatment at home, in minutes, for chronic & acute disease",Inactive,"hard-tech,hardware,health-tech,medical-devices",10,http://www.cliphealth.com
"Satori He,Sam Liu",S16,,"Consumer,Transportation Services",0,Palo Alto,,"Voice AI are changing the way people interact with contents and services. At Mosaix we are building an advanced a language AI platform for enterprise, with a focus on underserved emerging markets. ",Mosaix.ai,"Palo Alto, CA, USA",Mosaix builds the NLP for the local languages at the emerging markets.,Inactive,"nlp,emerging-markets",20,https://mosaix.ai
Fred Turner,S16,,"Healthcare,Diagnostics",0,"San Jose, CA",,"Shield Bio is a precision medicine company with a
proprietary platform that enables reliable nanopore
sequencing in under a minute, in a clinical setting. It is
focused on bringing 3rd generation or ""nanopore""
sequencing into clinical use to deliver on the promise of
precision medicine. Shield is initially using the technology to
improve the treatment of infectious disease and address the
unmet clinical need of sepsis, which kills 300,000 people a
year in the US alone.",Shield Bio,"San Jose, CA, USA","Bringing 3rd generation, nanopore sequencing to healthcare to solve…",Inactive,"healthcare,genomics,nanotechnology",28,http://shieldbio.com
"Dheera Venkatraman,Rui Li",S16,,"Industrials,Manufacturing and Robotics",0,Palo Alto,,"Robby Technologies is building self-driving robots for last-mile delivery of food, groceries and packages. It was founded by two MIT PhDs in computer vision and robotics, selected into Y Combinator program in summer 2016, and featured by TechCrunch as one of the top startups. With the mission to make delivery affordable and convenient for everyone, Robby Technologies has partnered with major US delivery companies for pilot deliveries in the Bay Area since 2016.",Robby Technologies,"Palo Alto, CA, USA",We are building a fleet of autonomous mobile robots that travel on…,Inactive,"autonomous-delivery,robotics",11,http://robby.io
"Igor Gladkoborodov,Anton Gladkoborodov",S16,,"Consumer,Social",0,"Moscow, Russia",,"Coub is a short looped video service. They are easy to create online and can be featured with soundtrack. The resulting videos are highly viral, thats why Coub is a fast growing. It has already more than 51M unique visitors per month.",Coub,"Moscow, Russia","Coub is YouTube for video loops. You can take any video from YouTube,…",Inactive,social-media,11,http://coub.com
