active_founders,batch,founded,industry,jobs,location,logo,long_description,name,region,short_description,status,tags,team_size,website
"Chris Field,Darby Wong",S11,2011,"B2B,Legal",0,Palo Alto,https://bookface-images.s3.amazonaws.com/small_logos/0413dbdb2293e4b9ea1ccbeb3fd25e23c7e07440.png,Clerky builds software to make legal paperwork easier for startups and their attorneys.  From formation to fundraising to hiring - everything a startup needs.  Thousands of top startups use Clerky to get legal paperwork done safely and efficiently.,Clerky,"Palo Alto, CA, USA",Makes legal paperwork easy for startups and their attorneys.,Active,"documents,legal,legaltech",15,https://www.clerky.com
"Nathan Blecharczyk,Brian Chesky,Joe Gebbia",W09,2008,"Consumer,Travel, Leisure and Tourism",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/3e9a0092bee2ccf926e650e59c06503ec6b9ee65.png,"Founded in August of 2008 and based in San Francisco, California, Airbnb is a trusted community marketplace for people to list, discover, and book unique accommodations around the world — online or from a mobile phone. Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to unique travel experiences, at any price point, in more than 33,000 cities and 192 countries. And with world-class customer service and a growing community of users, Airbnb is the easiest way for people to monetize their extra space and showcase it to an audience of millions.  

No global movement springs from individuals. It takes an entire team united behind something big. Together, we work hard, we laugh a lot, we brainstorm nonstop, we use hundreds of Post-Its a week, and we give the best high-fives in town. Headquartered in San Francisco, we have satellite offices in Dublin, London, Barcelona, Paris, Milan, Copenhagen, Berlin, Moscow, São Paolo, Sydney, and Singapore.",Airbnb,"San Francisco, CA, USA",Book accommodations around the world.,Public,"marketplace,travel",6132,http://airbnb.com
"Calvin French-Owen,Ilya Volodarsky",S11,2011,"B2B,Analytics",0,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/99f5abd1f15fa4ca4394b5781c98d8ff23db6f7b.png,"Segment is one place to collect customer data and send it to your tools for analytics, marketing automation, and raw data access with SQL. Implement all of your event tracking with Segment’s single API instead of wrangling a new API for every new tool or database. Segment's integrations let you send your data to hundreds of tools and databases.",Segment,"San Francisco, CA, USA","Software and APIs to collect, clean, and control customer data.",Acquired,"saas,b2b",550,http://segment.com
"Matt Robinson,Hiroki Takeuchi,Tom Blomfield",S11,2011,"Fintech,Consumer Finance",0,"London, United Kingdom",https://bookface-images.s3.amazonaws.com/small_logos/0ccdabab089f9b89cedc7a361ae2e169d4d6a942.png,"At GoCardless we believe that bank payments are the best way to pay and get paid. We help businesses collect both recurring and one-off payments, without the chasing, stress or expensive fees.

We’re building a global bank payment network that lets people make and collect payments straight from their bank account, across multiple countries and currencies. 75,000+ businesses around the world trust us to power their payments. We enable them to collect payments from 30+ countries, processing over $30 billion each year.

Our suite of add-on products are helping businesses face their payment challenges head on. From automatically recovering failed payments, to challenging charge backs and fighting fraud - all without compromising their customer’s payment experience.

Our open banking leadership unlocks the ability to make and accept direct bank payments confidently and securely. And our acquisition of Nordigen means we’re also helping businesses make faster and more informed decisions by accessing and generating insights from their customers’ bank account data.

We’re also backed by some of the world’s leading investors including Accel Partners, Bain Capital Ventures, Balderton Capital, GV (formerly Google Ventures), Notion Capital, Passion Capital, Permira and Salesforce Ventures. We're a global team, with offices in London, Paris, Riga, Melbourne and New York.",GoCardless,"London, England, United Kingdom",We’re building the world’s bank payment network.,Active,fintech,900,http://gocardless.com
Zach Sims,S11,2011,Education,0,New York,https://bookface-images.s3.amazonaws.com/small_logos/ee26c3b11a260e7a045f68b47d8c804b306db89f.png,"Working professionals are experiencing their jobs changing amidst the rise of technology and automation threatens over 800 million jobs. At the same time, software is eating the world, disrupting every major industry, and creating millions of new technology jobs that companies are eager to fill. This is the skills gap. Our mission is closing it.

In 2011, we changed the face of education by creating free interactive coding courses explored by over 45 million people. As we look to the future, we're focused on helping anyone get the skills they need for the jobs they want.  We aim to bridge the gap: between companies and the workforce, people and their dream jobs. Join one of the most dynamic technology companies in New York that is changing the way the world learns.

Headquartered in New York City, our team is filled with highly curious diverse individuals whose backgrounds span tech and education. Our team is passionate about our mission: helping people get the skills they need for the jobs they want. We seek transparency, thrive on feedback, value teamwork, love evolving and never forget it's people first. We enjoy catered lunches together, company outings, guest speakers and long walks on the beach.",Codecademy,"New York, NY, USA",The leading online learning platform for technical skills.,Acquired,education,225,http://codecademy.com
Borna Safabakhsh,S11,2011,"Healthcare,Healthcare IT",1,San Francisco,https://bookface-images.s3.amazonaws.com/small_logos/809b12f827ff69a7f32abee89d407ac3eac9359d.png,"At AgileMD, we are building the most advanced real-time predictive analytics and clinical algorithms platform for hospitals. Our cloud-based engine helps thousands of doctors and nurses around the country make medical decisions, so that every patient receives the highest quality and value of care based on the latest medical knowledge and data.",AgileMD,"San Francisco, CA, USA",Predictive analytics and clinical pathways for hospitals ,Active,"machine-learning,healthcare",15,https://agilemd.com
Adam Regelmann,S11,,"Healthcare,Healthcare IT",0,"Hayward, CA",https://bookface-images.s3.amazonaws.com/small_logos/4040613ddc6090974d404ee7a77c5ebad60a1e10.png,"The world’s No. 1 lab management platform. We help scientists easily organize orders, manage inventory, and save money.",Quartzy,"Hayward, CA, USA",Marketplace for life science supplies.,Active,"saas,b2b",100,https://www.quartzy.com
"Vivek Ravisankar,Harishankaran",S11,,"B2B,Recruiting and Talent",1,Mountain View,https://bookface-images.s3.amazonaws.com/small_logos/6df4cc84a7b27db9480fd2d7bff6fa62ff56aacb.png,"HackerRank, the developer skills company, helps businesses attract, evaluate and hire the best technical talent from around the world. More than 2,800 customers across all industries, including over 25% of the Fortune 100, rely on HackerRank to raise their hiring bars. More than 18 million developers (approximately 40% of the global developer population) trust HackerRank to learn and showcase their coding skills. Every second, two developers complete a HackerRank code submission, or 185,000 per day.",HackerRank,"Mountain View, CA, USA",Accelerate the World's Innovation ,Active,"developer-tools,recruiting",300,http://hackerrank.com
Aleem Mawani,S11,2012,"B2B,Sales",1,,https://bookface-images.s3.amazonaws.com/small_logos/34b83cec1f2ebdc9cb570890712a93e354509aec.png,"Streak is the only CRM integrated entirely within your Gmail inbox, and works alongside all your other G Suite applications. It can be used to track any business process including sales, partnerships, support, hiring, deal flow, and much more. Streak also includes a powerful set of email tools including email tracking, send later, snoozing, mail merge, and more.",Streak,Remote,Streak transforms Gmail into a powerful CRM,Active,,35,http://streak.com
"George Deglin,Long Vo",S11,2011,"B2B,Marketing",2,"San Mateo, CA",https://bookface-images.s3.amazonaws.com/small_logos/e909ca477c49ecc4630b711eb00e53523cd42a90.png,"OneSignal is the leading omnichannel customer engagement solution, powering personalized customer journeys across mobile and web push notifications, in-app messaging, SMS, and email. Our easy-to-use interface empowers content creators to focus on quality user engagement instead of complex implementation.

Our powerful platform enables over a million businesses to deliver 10 billion messages daily and 1 in 7 new apps launches using OneSignal! We support companies in 140 countries, including Zynga, USA Today, Bitcoin.com, Upwork, Tribune, and many more - from startups and small businesses just getting off the ground to established companies communicating with millions of customers.",OneSignal,"San Mateo, CA, USA",Engage customers through personalized omni-channel messaging,Active,"developer-tools,saas,b2b,messaging,marketing",150,https://onesignal.com
